ICGC-Breast_common_DBS11	ICGC-Breast_common_DBS13	ICGC-Breast_common_DBS20	ICGC-Breast_rare_DBS28	ICGC-Breast_rare_DBS27	ICGC-Ovary_common_DBS13+20	ICGC-Ovary_rare_DBS13+20	ICGC-Ovary_rare_DBS5	ICGC-Ovary_rare_DBS13+19+20_a	ICGC-Ovary_rare_DBS13+19+20_b	ICGC-Bone_SoftTissue_common_DBS13+20	ICGC-Liver_common_DBS2	ICGC-Liver_common_DBS13+20	ICGC-Liver_rare_DBS23	ICGC-Liver_rare_DBS5	ICGC-Liver_rare_DBS18	ICGC-CNS_common_DBS13+20	ICGC-CNS_rare_DBS11+13	ICGC-Pancreas_common_DBS13+20	ICGC-Pancreas_rare_DBS5+25	ICGC-Pancreas_rare_DBS20	ICGC-Pancreas_rare_DBS27	ICGC-Pancreas_rare_DBS16+20	ICGC-Pancreas_rare_DBS5	ICGC-Prostate_common_DBS13	ICGC-Prostate_rare_DBS27_a	ICGC-Prostate_rare_DBS27_b	ICGC-Prostate_rare_DBS18	ICGC-Lymphoid_common_DBS11+20	ICGC-Lymphoid_common_DBS22	ICGC-Kidney_common_DBS13+20	ICGC-Kidney_rare_DBS15	ICGC-Kidney_rare_DBS23	ICGC-Skin_common_DBS1	ICGC-Esophagus_common_DBS26	ICGC-Esophagus_common_DBS13+20	ICGC-Esophagus_rare_DBS5	ICGC-Esophagus_rare_DBS8	ICGC-Esophagus_rare_DBS26	ICGC-Esophagus_rare_DBS7	ICGC-Lung_common_DBS2	ICGC-Lung_common_DBS13	ICGC-Lung_rare_DBS20	ICGC-NET_common_DBS13+20	ICGC-Stomach_common_DBS13+20	ICGC-Stomach_rare_DBS25	ICGC-Stomach_rare_DBS26_a	ICGC-Stomach_rare_DBS19	ICGC-Stomach_rare_DBS26_b	ICGC-Stomach_rare_DBS20	ICGC-Head_neck_common_DBS4	ICGC-Head_neck_rare_DBS13+18	ICGC-Head_neck_rare_DBS2	ICGC-Head_neck_rare_DBS11	ICGC-Head_neck_rare_DBS5+20	ICGC-Head_neck_rare_DBS17	ICGC-Colorectal_common_DBS13+20	ICGC-Colorectal_rare_DBS25	ICGC-Colorectal_rare_DBS3	ICGC-Colorectal_rare_DBS19	ICGC-Colorectal_rare_DBS10	ICGC-Uterus_common_DBS13+20	ICGC-Uterus_rare_DBS27	ICGC-Uterus_rare_DBS17	ICGC-Uterus_rare_DBS37	ICGC-Uterus_rare_DBS3	ICGC-Uterus_rare_DBS33	ICGC-Uterus_rare_DBS19	ICGC-Biliary_common_DBS13	ICGC-Biliary_rare_DBS19	ICGC-Bladder_common_DBS13	ICGC-Bladder_rare_DBS11
AT>CC	1.62934798405126e-19	3.3132425475207e-14	0.00367955480376207	9.88459048498389e-26	0.00814510741148929	0.00120754716981132	0.00292147806524297	0	0	0	0	0.00109764493013833	0.000289853475432195	0	0	5.90830129804178e-05	0	0	0.00173550850399167	0	0.00567178608876691	0.0169661403614793	0	0	0	0.00991531469313156	0.0329670396171165	0	1.36006339141304e-19	0.0100165423216002	0.0013389441469013	0.00372662931925833	0	0	0.00259637604771491	1.08247751383443e-19	0	0	0.00538230213726939	0.00494150818262661	0	0.000368348514753003	0	0	0	0	0.00537709462880129	0.00566337737208635	0.00562669846801667	0	0.000753012048192771	0	0.000310323091106299	0	0	0	0	0	0.00870899514643198	0.00447274811569581	0.00163539485274126	0	0	0	0.0133656094859598	0	0	0.00801364055045045	0	0	0	0
AT>CG	1.62934798405126e-19	1.03949779491735e-19	1.22899724873725e-19	0	0	0	0.00182524227392546	0	0	0	0	1.79848304658269e-20	0.000881899628615379	0	0	0	0	0.0075404134827116	0.000694203401596668	0	0.00624138671076746	0	0	0	0	0	0	0	1.36006339141304e-19	0.00819551021848995	0.000191277735271614	0.00117738693964279	0	0.00113960113960114	0.0103855041908596	1.08247751383443e-19	0	0	0	0.0197660327289154	2.29903449615922e-21	0.000105242432786572	0	0	0	0.00490570432097582	0.00537709462880129	0	0.00562669846801667	0	0.00150602409638554	0	1.64540422539423e-06	0	0	0	0	0	0.0120474432858976	0	0.0049061845582238	0	0	0	0	0	0	0	0	0	0	0
AT>GA	0.00074081618893802	0.00122408542443397	0.00387045145913585	0.0098930106945425	0.00772679780288958	0.00256603773584906	0.00182526096229167	0.00185295937662108	0.0286569630516815	0.0117367849629963	0.00445765230312036	0.000693274253406906	0.00277930605432165	0	0.00102318840911439	0.00130118024327338	0.00900900900900901	0.00508193920427674	0.00242971190558834	0.00835665163445562	0.0185346604524314	0	0.00827948678452495	0	0	0.00991531469313156	0.021978026411411	0.00539074425373367	0.00572838422626796	0.0238781137599521	0.00191277735271614	0.00980308969970915	0.0043047074414485	0	0.000436815299661196	0.00539263733313878	0	0	0	0.00592686343099181	0.000298314480017319	0.00197994169354736	0.000138855965749265	0.00934579439252336	0.00309119010819165	0.00596712473782774	0	0.0159899517209707	0	0	0.00301204819277108	0.00502221259231017	1.33458799762454e-10	2.41802663912711e-10	0	0	0.00105374077976818	0	0.00263267193125196	0.00884930478417634	0	0	0	0	0	0	0	0.0240409216513514	0.00117647058823529	0.0116983892723017	0.00181983621474067	0
AT>GC	1.62934798405126e-19	0.000503365643269125	0.00159072287392584	0.00770904595407075	0.0083109505568317	0.000754716981132075	0.00182524209937209	0	0.0143313676341403	0	0	1.79848304658269e-20	0.00190235360492427	0	0	0	0	0	0	0	0	0	0	0	0	0.00991531469313156	0.043956052822822	0.00539074425373367	1.36006339141304e-19	0.0145697959439821	0.000573833205814843	0.00150715323545494	0	0	0.00170339311397342	0.00124414648742289	0	0	0	0	2.29903449615922e-21	0.00042096973114629	0	0.00467289719626168	0	0	0	0.016990132116259	0	0	0.00150602409638554	0.00251110626296348	0.000538827181944109	0	0	0	0	0	0.00551569692607359	0.00894549623139162	0.0049061845582238	0	0	0	0.0200484142289396	0	0	0.00801364055045045	0	0.00796482042568857	0	0
AT>TA	4.93686004823526e-19	0.00661063147314364	0.0126904889858814	0.0252989334752669	0.00470753266684821	0.00437735849056604	0.00284033785689781	0.00558828987312263	0.0859890303068174	0.0855142699755531	0.0104011887072808	0.00293693811310619	0.00472924126469628	0.00478410068095796	0	3.27327041214693e-11	0.00600600600600601	0	0.00277681360638667	0.0082989909584055	0.00509904975250058	0	0.0579359965343376	0.0187030018976601	0.00634249471458774	0	0	0.00801343812015333	0.0104646444118509	0.0282116927406714	0.00592960979342004	0.0150680500493674	0.00122366241750335	0.00170940170940171	0.00821902014470964	0.0071592339332008	0.0065801285674609	0	0.0156346554410612	0	0.0016596059541942	0.00189570602089347	0.0104321693224726	0	0.0123647604327666	8.95704423945512e-06	0.022043826720503	0.0180737600570098	0.00457571418025525	0.00152502147674408	0.00451807228915663	0.00229789203019183	0.00204711605153248	0.0158044618532328	0	0.00739187137771002	0.0136986301369863	9.56338673263881e-06	0.00148324854608513	0.0656771204869496	0.00255510447653831	0.00720720720720721	0.0166666666666667	0	0.0333854445433807	0.0616698613655146	0.0477017136055933	0.055841486734107	0.00117647058823529	0.0475405183213676	0.000909918107370337	0.00408938660782356
CC>AA	1.62934798405126e-19	0.289645700935609	0.0315098549046329	1.30297679789289e-13	0.0113130242284954	0.158037735849057	0.0701466344172645	0.0987803816398285	0.07080825690665	0.0391062565783257	0.194650817236256	0.573136925621805	0.145162555289445	0.0454689505987488	0.00298933090888452	0.000130987061178167	0.207207207207207	0.139816175260109	0.155848663658452	0.166627370655583	0.000278490377610906	0.0166951566962139	0.00921041882949945	0.0104794624911865	0.321353065539112	6.71391988528278e-05	0	1.06147516667992e-05	0.0404048749450646	0.05047065883359	0.161438408569243	4.15053155452939e-10	0.0971310623856105	0.00512820512820513	0.0730636065423457	0.102848680787617	0.0887821668135987	0.0332372740941317	0.0354103661062551	0.000537787761432046	0.622056858775761	0.283076806588198	0.0128171928576179	0.196261682242991	0.0896445131375579	0.0694783417687098	0.0432980647341663	0.0185448023153619	0.0487502049710685	0.0816821281187901	0.0978915662650602	0.159947843959523	0.401418394493908	0.0775034233964739	0.0394540765853213	0.0390990765766452	0.151738672286617	0.0153304675967449	1.42868402182171e-07	0.00892951630218244	2.78039976078176e-05	0.16036036036036	0.0333333333333333	0.0291269569043474	0.0057276626916389	0.0301951100407615	1.18685903961743e-10	6.7335349882004e-09	0.307058823529412	1.01712406194147e-17	0.332120109190173	0.0149620704597949
CC>AG	0.00198024305011721	0.0649531305239631	0.0265272983276763	0.0015891848397128	0.0289972303038969	0.0416603773584905	0.0452460073940289	0.0249845879462354	0.014105812172411	6.75995600797636e-05	0.0490341753343239	0.0631851731307161	0.0230299540438769	0.0160157112789501	0.0390162960438084	0.0299591841887493	0.027027027027027	0.045572466377926	0.0475529330093717	1.15627806475406e-08	0.000730385670551201	0.0168860316320584	0.000951183541961761	0.000439199251842542	0.0380549682875264	0	0.0109889957492153	0.042681154295732	0.0201596864766687	0.0200261918637974	0.0319433817903596	0.000261678473373457	0.0184065726537552	0.00284900284900285	0.0122191033520534	0.0297453220628984	0.00264483692303049	0.0158580853263277	9.7716732013239e-06	0.0248209974792846	0.0725468633308473	0.0304397407672538	0.00687765789220692	0.0280373831775701	0.0255023183925811	2.3248973785468e-06	0.00145137829460159	4.98969566912394e-07	0.0147448416886331	0.0197978387652865	0.0218373493975904	0.0398230330780176	0.0601002591987885	0.00413854131717222	0.00747980097014297	0.0371018527960482	0.035827186512118	0.000153831808717349	3.69303297134895e-16	7.6595672827183e-08	3.78433621668072e-26	0.0414414414414414	0	8.34613803472306e-80	0	0.030681922240694	0	0	0.04	5.90542976973273e-15	0.0627843494085532	9.44593588431331e-06
CC>AT	0.0562895988040821	0.0744632138142367	0.0257023589661813	0.00434449162465607	0.0228244548420423	0.0535849056603774	0.0396660835520185	0.0172316592086714	0.0140392051353531	0.00841484294999192	0.0668647845468053	0.103984729769901	0.0474018920075687	0.0204706811108137	0.00655424865323704	0.0086362926464457	0.042042042042042	0.0414857141449972	0.0600485942381118	2.86403273396952e-05	0.0320957041111749	0.0338334460275121	0.0674684928159624	0.0406966685360464	0.06553911205074	0.0158055683643107	0.0439560227589013	0.0172209417760204	0.0245994473914146	0.016326613084806	0.0679035960214231	0.000365030523731082	0.00765250521943792	0.0330484330484331	0.0196257511949809	0.0520930520311609	0.0200360340110297	0.027804077944405	1.14218199184999e-09	0.0147547698929853	0.0932649905560785	0.0487582395322247	0.0629549311035335	0.0607476635514019	0.0309119010819165	0.00856216260081913	0.0284661310981983	0.023447330717707	0.0255624746264551	0.037468873168421	0.0534638554216867	0.0344338011110447	0.0817022177135832	0.0545040013289006	0.0246207289614238	0.0723504799197683	0.0727081138040042	7.36176332581532e-06	7.2217618743043e-07	1.23813058160279e-13	0.00602079702357123	0.0594594594594595	0.0333333333333333	0.0882902777946801	0.0198107548597748	0	0.0308396336461747	0.00541941043420434	0.06	1.49390001079459e-08	0.0764331210191083	0.0646853153459937
CC>GA	1.62934798405126e-19	0.024261857604871	0.00530063601928607	0.00124307458840502	0.000406402451657557	0.0155471698113208	0.0134137740905945	0.00853831217410909	0.0142502985118067	0.0208599281813776	0.0133729569093611	0.0210492442763492	0.00689727697783256	0.00090102963748143	3.48301295189841e-06	3.41325885302571e-05	0.003003003003003	0	0.0152724748351267	0	0.00312477224172582	0.0508808588661094	0.00875150512636358	0.0247766953866658	0.025369978858351	0	0	0	0.00662309985940714	0.0124484381676775	0.00956388676358072	0.00807933060972147	4.50883240524044e-12	0.00113960113960114	0.000392563434985278	0.0107179117267998	7.9128848615551e-05	0	0.00496600639861731	0.00590284073044007	0.0179130263304913	0.0155359458033791	0.0048103648420664	0.00934579439252336	0.00927357032457496	0.000896163034723877	0	0.00367417469327621	0.0104851224074545	0.00545575309782244	0.00978915662650602	0	0.0186897516648826	0.00637203961465174	0.00961060039804676	0.0146412093887344	0.0168598524762908	1.33663255024464e-07	2.55755876913384e-12	0.00224095618957965	0.000611920922338727	0.0054054054054054	0	0.00538563432736418	0	0.0154029260389074	0	0	0.02	0	0.0263876251137398	2.14351291128058e-05
CC>GG	0.00122439060154643	0.00641740477130822	0.00777335867470005	0.00396131918990997	0	0.00332075471698113	0.00499848399011591	0.00179103543278808	0	0	0.00148588410104012	0.00262057040705004	0.0015825527842509	0	0	0.000129493301594111	0	0.0075404134827116	0.00659493231516834	0	0.00290810812213412	0	0	0	0	0.0396612587725262	0	0.016172232761201	0.00313605256738179	0.00295782750312077	0.00248661055853099	0.00287234833669224	0.00123782579551073	0	0.00689322127736802	0.00383156272950368	0.00300159324592899	0	0.0103084172704636	0.00253688505573068	0.00123730439520606	0.00327359590371258	0.00477105726851356	0.00934579439252336	0.00386398763523957	3.63902872233911e-11	0	0.002579010627993	0	0	0.000753012048192771	0.00278822500279662	0.00611862119800836	0.00259972830697436	0	0	0.00316122233930453	0.000977940597492495	4.19726078794582e-16	0	0	0	0.0166666666666667	0	0	0	0	0	0.00470588235294118	0.00695549655892699	0.000909918107370337	0
